"","tiempo","n2_normal","clk1_normal","aak2_normal","doble_normal"
"1",1,1,1,1,1
"2",2,1,1,1,0.98876404494382
"3",3,1,1,1,0.955056179775281
"4",4,0.988888888888889,0.933333333333333,0.979166666666667,0.921348314606742
"5",5,0.988888888888889,0.933333333333333,0.979166666666667,0.898876404494382
"6",6,0.966666666666667,0.866666666666667,0.96875,0.887640449438202
"7",7,0.966666666666667,0.866666666666667,0.96875,0.865168539325843
"8",8,0.955555555555556,0.844444444444444,0.9375,0.842696629213483
"9",9,0.944444444444444,0.822222222222222,0.90625,0.820224719101124
"10",10,0.9,0.8,0.864583333333333,0.808988764044944
"11",11,0.811111111111111,0.777777777777778,0.84375,0.775280898876405
"12",12,0.755555555555556,0.777777777777778,0.75,0.752808988764045
"13",13,0.655555555555556,0.755555555555556,0.677083333333333,0.707865168539326
"14",14,0.533333333333333,0.666666666666667,0.572916666666667,0.606741573033708
"15",15,0.5,0.622222222222222,0.520833333333333,0.48314606741573
"16",16,0.466666666666667,0.6,0.447916666666667,0.415730337078652
"17",17,0.377777777777778,0.533333333333333,0.34375,0.337078651685393
"18",18,0.288888888888889,0.466666666666667,0.239583333333333,0.247191011235955
"19",19,0.222222222222222,0.4,0.125,0.202247191011236
"20",20,0.144444444444444,0.288888888888889,0.0625,0.123595505617978
"21",21,0.0555555555555556,0.222222222222222,0.0208333333333333,0.0337078651685393
"22",22,0,0,0,0
